Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,8/11/2024 9:07,TRUE,Hangzhou Running,8,561,0:38:35,169,184,3.8,172,177,4:50,3:09,17,15,1.28,7.7,9.7,246,4:30,349,0,344,511,"6,618",No,04:30.3,8,0:38:33,0:56:02,14,29
Running,8/5/2024 16:28,TRUE,Running,15.27,"1,000",1:04:57,175,184,5,175,186,4:15,3:10,44,43,1.34,7.2,9.6,234,4:14,371,0,368,526,"11,380",No,01:15.6,16,1:04:51,1:23:20,12,32
Running,8/4/2024 16:58,TRUE,Hangzhou Running,15.3,992,1:06:11,170,188,4.8,173,184,4:19,3:16,27,26,1.36,7.2,9.8,236,4:14,369,0,368,493,"11,464",No,01:20.1,16,1:05:50,1:21:39,19,43
Running,8/2/2024 19:41,TRUE,Hangzhou Running,15,"1,032",1:14:38,164,183,4.6,162,204,4:59,3:20,33,45,1.25,7.8,9.6,251,4:57,328,0,309,482,"12,190",No,04:14.1,15,1:13:41,1:20:35,6,30
Running,7/25/2024 19:48,TRUE,Hangzhou Running,10.01,672,0:48:09,157,179,3.6,169,175,4:49,4:06,38,36,1.23,7.9,9.8,255,4:48,331,0,328,448,"8,124",No,00:02.6,11,0:48:03,0:52:06,5,15
Running,7/22/2024 19:32,TRUE,Hangzhou Running,10.01,685,0:46:50,163,180,4,169,178,4:41,4:07,36,38,1.27,7.8,10,253,4:39,343,0,339,491,"7,886",No,00:02.0,11,0:46:44,0:47:39,4,14
Running,7/21/2024 20:43,TRUE,Hangzhou Running,6.07,394,0:27:05,158,178,3.3,171,184,4:28,4:06,26,18,1.32,7.6,9.9,246,4:24,359,0,356,446,"4,614",No,00:24.8,7,0:27:04,0:27:05,8,18
Running,7/18/2024 18:31,TRUE,Hangzhou Running,6.17,393,0:27:01,159,175,3.2,170,178,4:23,3:51,27,24,1.34,7.5,10,243,4:19,367,0,363,481,"4,614",No,00:54.5,7,0:26:56,0:35:41,3,12
Running,7/17/2024 19:49,TRUE,Hangzhou Running,10.01,667,0:46:31,160,178,3.8,168,174,4:39,4:01,33,34,1.29,7.8,10.1,253,4:37,346,0,342,466,"7,806",No,00:01.5,11,0:46:28,0:46:31,7,16
Running,5/13/2024 18:53,TRUE,Hangzhou Running,10.01,620,0:45:03,142,155,3.2,170,177,4:30,4:10,17,16,1.3,7.6,9.9,247,4:30,348,0,347,401,"7,654",No,00:01.6,11,0:44:55,0:48:27,2,7
Running,5/12/2024 18:30,TRUE,Hangzhou Running,10.01,664,0:43:43,157,170,3.7,171,176,4:22,3:50,41,50,1.34,7.5,10,244,4:21,367,0,363,509,"7,438",No,00:01.6,11,0:43:40,0:43:51,-3,9
Running,5/10/2024 15:06,TRUE,Hangzhou Running,10.01,662,0:42:00,163,179,4,174,187,4:12,3:49,48,44,1.37,7.2,9.9,236,4:10,381,0,377,538,"7,278",No,00:01.4,11,0:41:52,0:42:00,5,15
Running,5/9/2024 12:48,TRUE,Hangzhou Running,10.01,672,0:44:03,158,171,3.7,172,181,4:24,3:58,56,55,1.32,7.4,9.8,242,4:22,364,0,358,478,"7,594",No,00:01.9,11,0:44:01,0:44:03,4,15
Running,5/7/2024 18:09,TRUE,Hangzhou Running,10.01,650,0:45:29,147,160,3.2,169,183,4:33,4:00,17,23,1.31,7.6,9.9,247,4:31,347,0,345,422,"7,722",No,00:02.0,11,0:45:04,1:08:14,3,13
Running,5/6/2024 19:26,TRUE,Hangzhou Running,10.01,643,0:44:56,149,163,3.4,169,178,4:29,4:05,13,16,1.31,7.6,10,247,4:29,349,0,348,409,"7,612",No,00:01.4,11,0:44:39,0:47:24,4,8
Running,5/5/2024 19:11,TRUE,Hangzhou Running,4.56,317,0:21:56,153,172,2.8,168,174,4:49,4:21,16,19,1.25,8,9.9,256,4:44,338,0,331,483,"3,682",No,02:52.8,5,0:21:53,0:21:56,3,12
Running,5/4/2024 19:40,TRUE,Hangzhou Running,10.01,669,0:47:16,151,167,3.3,169,176,4:43,4:01,49,50,1.26,7.9,9.9,253,4:41,340,0,337,455,"7,974",No,00:01.6,11,0:47:13,0:52:30,5,17
Running,5/3/2024 11:25,TRUE,Hangzhou Running,10.01,661,0:42:55,157,175,3.8,174,180,4:17,3:41,38,34,1.34,7.3,9.8,238,4:16,371,0,367,514,"7,436",No,00:01.3,11,0:42:45,0:42:55,6,17
Running,5/1/2024 8:19,TRUE,Hangzhou Running,10.01,664,0:44:29,154,169,3.6,173,180,4:27,4:07,51,50,1.3,7.5,9.7,243,4:24,360,0,355,477,"7,664",No,00:02.4,11,0:44:26,0:44:29,3,14
Running,4/28/2024 14:26,TRUE,Hangzhou Running,10.01,635,0:47:06,139,154,3,169,198,4:42,3:52,23,21,1.26,7.7,9.7,249,4:41,333,0,332,424,"8,024",No,00:01.0,11,0:46:54,1:21:00,5,13
Running,4/26/2024 14:51,TRUE,Hangzhou Running,10.01,664,0:43:47,155,167,3.7,174,184,4:22,3:45,49,48,1.31,7.3,9.6,239,4:21,364,0,359,491,"7,630",No,00:01.9,11,0:43:40,0:43:47,-22,-12
Running,4/25/2024 11:16,TRUE,Hangzhou Running,10.01,635,0:44:08,148,164,3.4,173,181,4:25,4:08,55,51,1.31,7.5,9.7,242,4:23,365,0,359,486,"7,606",No,00:01.7,11,0:44:06,0:45:31,4,16
Running,4/23/2024 16:15,TRUE,Hangzhou Running,10.01,645,0:44:05,153,165,3.5,172,196,4:24,4:03,12,14,1.32,7.4,9.8,242,4:24,356,0,354,409,"7,588",No,00:02.1,11,0:43:54,0:46:05,3,8
